 Case            Cost Iterations Time(s)
    1    2.973074e-06          2   1.7174
    2    2.716677e-06         89  15.6259
    3    2.886662e-06        167  73.6261
    4    3.248899e-06          2   0.1348
    5    3.006805e-06          2   0.2652
    6    2.745855e-06         50   7.1250
    7    1.933203e-06          4   0.5341
    8    2.949064e-06          2   0.4803
    9    3.522911e-06          2   0.8086
   10    2.694416e-06        162  68.3562
   11    3.108900e-06         11   3.8029
   12    2.973468e-06          2   0.7799
   13    2.710888e-06        124  56.6183
   14    2.857425e-06        267 353.0093
   15    3.554216e-06          8   5.5921
