LGL Nodes
X(t=0)    = [18,0.001,12,0.003,10,0.005]
X(t=pi/n) = [0.5,0,0.5,0,0.5,0] 

 Case  I  N   Cost         Iterations Time(s)        Constraints Satisfied
    1  1  6   3.156180e-06          4 1.6072         Y
    2  1  10  1.967975e-06        340 59.7588        Y
    3  1  18  1.971918e-06        736 342.3371       Y
    4  2  3   3.278318e-06          3 0.1846         Y
    5  2  5   3.162536e-06          4 0.4273         Y
    6  2  9   1.972009e-06        250 38.8445        Y
    7  3  2   1.836141e-06          3 0.6524         N
    8  3  4   3.148664e-06          4 0.9565         Y
    9  3  6   2.004955e-06        319 100.7443       Y(c)
   10  3  8   2.797803e-06        206 95.7404        Y
   11  4  2   3.162781e-06         10 3.7893         N
   12  4  3   3.097046e-06          4 1.2768         Y
   13  4  5   1.963327e-06        409 196.5766       Y
   14  4  10  1.964409e-06       1093 1518.8150      Y(c)
   15  5  2   3.782826e-06         10 7.2492         N
